st,ct,val
1,Autauga County,1001
1,1,1001
1,Baldwin County,1003
1,3,1003
1,Barbour County,1005
1,5,1005
1,Bibb County,1007
1,7,1007
1,Blount County,1009
1,9,1009
1,Bullock County,1011
1,11,1011
1,Butler County,1013
1,13,1013
1,Calhoun County,1015
1,15,1015
1,Chambers County,1017
1,17,1017
1,Cherokee County,1019
1,19,1019
1,Chilton County,1021
1,21,1021
1,Choctaw County,1023
1,23,1023
1,Clarke County,1025
1,25,1025
1,Clay County,1027
1,27,1027
1,Cleburne County,1029
1,29,1029
1,Coffee County,1031
1,31,1031
1,Colbert County,1033
1,33,1033
1,Conecuh County,1035
1,35,1035
1,Coosa County,1037
1,37,1037
1,Covington County,1039
1,39,1039
1,Crenshaw County,1041
1,41,1041
1,Cullman County,1043
1,43,1043
1,Dale County,1045
1,45,1045
1,Dallas County,1047
1,47,1047
1,DeKalb County,1049
1,49,1049
1,Elmore County,1051
1,51,1051
1,Escambia County,1053
1,53,1053
1,Etowah County,1055
1,55,1055
1,Fayette County,1057
1,57,1057
1,Franklin County,1059
1,59,1059
1,Geneva County,1061
1,61,1061
1,Greene County,1063
1,63,1063
1,Hale County,1065
1,65,1065
1,Henry County,1067
1,67,1067
1,Houston County,1069
1,69,1069
1,Jackson County,1071
1,71,1071
1,Jefferson County,1073
1,73,1073
1,Lamar County,1075
1,75,1075
1,Lauderdale County,1077
1,77,1077
1,Lawrence County,1079
1,79,1079
1,Lee County,1081
1,81,1081
1,Limestone County,1083
1,83,1083
1,Lowndes County,1085
1,85,1085
1,Macon County,1087
1,87,1087
1,Madison County,1089
1,89,1089
1,Marengo County,1091
1,91,1091
1,Marion County,1093
1,93,1093
1,Marshall County,1095
1,95,1095
1,Mobile County,1097
1,97,1097
1,Monroe County,1099
1,99,1099
1,Montgomery County,1101
1,101,1101
1,Morgan County,1103
1,103,1103
1,Perry County,1105
1,105,1105
1,Pickens County,1107
1,107,1107
1,Pike County,1109
1,109,1109
1,Randolph County,1111
1,111,1111
1,Russell County,1113
1,113,1113
1,St. Clair County,1115
1,115,1115
1,Shelby County,1117
1,117,1117
1,Sumter County,1119
1,119,1119
1,Talladega County,1121
1,121,1121
1,Tallapoosa County,1123
1,123,1123
1,Tuscaloosa County,1125
1,125,1125
1,Walker County,1127
1,127,1127
1,Washington County,1129
1,129,1129
1,Wilcox County,1131
1,131,1131
1,Winston County,1133
1,133,1133
2,Aleutians East Borough,2013
2,13,2013
2,Aleutians West Census Area,2016
2,16,2016
2,Anchorage Municipality,2020
2,20,2020
2,Bethel Census Area,2050
2,50,2050
2,Bristol Bay Borough,2060
2,60,2060
2,Denali Borough,2068
2,68,2068
2,Dillingham Census Area,2070
2,70,2070
2,Fairbanks North Star Borough,2090
2,90,2090
2,Haines Borough,2100
2,100,2100
2,Hoonah-Angoon Census Area,2105
2,105,2105
2,Juneau City and Borough,2110
2,110,2110
2,Kenai Peninsula Borough,2122
2,122,2122
2,Ketchikan Gateway Borough,2130
2,130,2130
2,Kodiak Island Borough,2150
2,150,2150
2,Lake and Peninsula Borough,2164
2,164,2164
2,Matanuska-Susitna Borough,2170
2,170,2170
2,Nome Census Area,2180
2,180,2180
2,North Slope Borough,2185
2,185,2185
2,Northwest Arctic Borough,2188
2,188,2188
2,Petersburg Census Area,2195
2,195,2195
2,Prince of Wales-Hyder Census Area,2198
2,198,2198
2,Sitka City and Borough,2220
2,220,2220
2,Skagway Municipality,2230
2,230,2230
2,Southeast Fairbanks Census Area,2240
2,240,2240
2,Valdez-Cordova Census Area,2261
2,261,2261
2,Wade Hampton Census Area,2270
2,270,2270
2,Wrangell City and Borough,2275
2,275,2275
2,Yakutat City and Borough,2282
2,282,2282
2,Yukon-Koyukuk Census Area,2290
2,290,2290
4,Apache County,4001
4,1,4001
4,Cochise County,4003
4,3,4003
4,Coconino County,4005
4,5,4005
4,Gila County,4007
4,7,4007
4,Graham County,4009
4,9,4009
4,Greenlee County,4011
4,11,4011
4,La Paz County,4012
4,12,4012
4,Maricopa County,4013
4,13,4013
4,Mohave County,4015
4,15,4015
4,Navajo County,4017
4,17,4017
4,Pima County,4019
4,19,4019
4,Pinal County,4021
4,21,4021
4,Santa Cruz County,4023
4,23,4023
4,Yavapai County,4025
4,25,4025
4,Yuma County,4027
4,27,4027
5,Arkansas County,5001
5,1,5001
5,Ashley County,5003
5,3,5003
5,Baxter County,5005
5,5,5005
5,Benton County,5007
5,7,5007
5,Boone County,5009
5,9,5009
5,Bradley County,5011
5,11,5011
5,Calhoun County,5013
5,13,5013
5,Carroll County,5015
