Order ID,Order Name,School ID,School name,Date school founded,Year founded,Year school ended [if applicable],Founder/Foundress,Type of students taught,School description,Location,Latitude,Longitude,Sources,Pictures?
1,Sisters of Charity of St. Joseph,1.01,Saint Joseph's Academy and Free School,"February 22, 1810",1810,"1973. The Academy became St. Joseph's College on February 26, 1902, which then closed in 1973.",St. Elizabeth Ann Bayley Seton,young women,"While the school was the first free Catholic school for girls staffed by religious women in the country, it was not the beginning of the Catholic parochial school system. It began on February 22, 1810 with day students from the town and by May 14 of the same year had borders. The school was free for poor students in the town and partially financed by paying boarding students. The school continued to expand throughout the century and on February 26, 1902 became St. Joseph's College, aimed towards higher education for Catholic women, which closed in 1973. Seton's correspondence with the Archbishop John Carroll regarding the first years of the community and school is highlighted below. ","Emmitsburg, Maryland",39.698744,-77.326408,"McNeil ""Historical Perspectives"" (286, 296, 298), ""St. Joseph College History: All Together, All Together"", ""The History of Saint Joseph College"" ",
1,Sisters of Charity of St. Joseph (later Sisters of Charity of Cincinnati),1.02,St. Peter's Girl's Orphan Asylum and School,October 1829,1829,not found,"Sisters Fanny Jordan, Victoria Fitzgerald, Beatrice Tyler and ALbina Levy",young girls and orphaned girls,"The school was founded in October 1829 after four Sisters of Charity arrived from Emmitsburg to establish it. Sources disagree on the exact date of founding; a second source estimates the sisters arrived in 1830 and obtained the house for the school in December of 1830. By 1835 the free school had 200 children in attendance, which remained the same through 1850. In 1852, the Sisters of Charity of Cincinnati was established and became the official order in charge of the school, splitting due to the Sisters of Charity of St. Joseph's new affiliation with the Daughters of Charity in France. 150 young girls attended the school and 50 orphans were cared for at the end of the century. ","Cincinnati, Ohio",39.097899,-84.517153,"Alma vol. 53 no. 2, Metz, ""History of the Sisters of Charity of Cincinnati""",http://via.library.depaul.edu/cgi/viewcontent.cgi?article=1175&context=vhj page 218
2,Sisters of Charity of Cincinnati,2.01,Mount St. Vincent Academy (Cedar Grove),1854,1854,became Seton High School,,"young girls (boarding), in 1884 accept day students and boys","The school was founded in 1854 as a boarding school for girls. In 1884, it began accepting boys and day students. In 1927, it opened as Seton High school, which is still in operation today.","Cincinnati, Ohio",39.112809,-84.578603,"""About Ceton: Mission & History"", ""The History of Cedar Grove Academy""",http://digital.cincinnatilibrary.org/digital/collection/p16998coll6/id/4971/
2,Sisters of Charity of Cincinnati,2.02,St. Mary's Academy,1857,1857,1974. The school became St. Joseph's School and closed in 1974.,Sister Regina Mattingly,"young children (boarding), in 1860 added day students","The school was founded per the request of the pastor of St. Joseph Parish in Dayton. The Sisters of Charity opened the school for boarding students in 1857 and three years later expanded to include day students. The school became St. Joseph School in 1874 when the Sisters gave control to the parish, although they continued to staff the school. In 1974 the school closed. ","Dayton, Ohio",39.762351,-84.184829,"""Saint Mary Academy and Saint Joseph Commercial High School: History"", ""Sisters of Charity of Cincinnati Historic Firsts""",
2,Sisters of Charity of Cincinnati,2.03,St. Joseph Academy,"March 4, 1870",1870,1892 sisters removed from school,,open to all as a public school,"The school was founded by three Sisters of Charity on March 4, 1870. In 1892, the Sisters were no longer allowed to teach at the school as nuns.","Trinidad, Colorado",37.167807,-104.509838,"""Institutions in Trinidad""",
2,Sisters of Charity of Cincinnati,2.04,St. James,1873,1873,became St. James Elementary School and All Saints High School,,coed elementary-high school,"The school was helped founded by four Sisters of Charity as a Catholic co-educational elementary and high school and was immediately successful with 400 enrolled students. The high school portion of the school merged with others in 1968 to become All Saints High School, and St. James Elementary school continues today.","Bay City, Michigan",43.58868,-83.884586,Younkman,
1,Sisters of Charity of St. Joseph,1.03,St. Vincent's,1852,1852,became Sacred Heart Cathedral Preparatory,Sister Frances McEnnis,orphanage and girl's day school,"The school and orphanage was founded by five Daughters of Charity in 1852. In 1966 it was renamed Cathedral High School, and in 1987 merged with Sacred Heart High School to form Sacred Heart Cathedral Preparatory still in operation today.","San Francisco, California",37.792547,-122.405929,"""Sacred Heart Cathedral Preparatory: Mission & History"", ""Heading West""",
1,Sisters of Charity of St. Joseph,1.04,"Los Angeles Institución Caritativa or ""Hermana Escolástica""",February 1856,1856,not found,Sister Mary Scholastica Logsdon,"Orphanage and girl's school, later boys too. Students included Native American and Spanish-only speakers.","The school and orphanage was founded by Sister Mary Scholastica Logsdon and four other Sisters of Charity that travelled from Emmitsburg to Los Angeles. They left on October 18, 1855 and arrived on January 6. 1856. They began the school and orphanage the next month and it was soon known to the Spanish-speaking community as ""Hermana Escolástica"". In July 1858, the local newspaper reported the school had 170 girls enrolled. The Emmitsburg superiors soon allowed the sisters to instruct young boys as an exception to their original regulation of only instructing children under age six, due to the needs of the community. Three of the original six nuns spoke only Spanish, as did some of the students. The school taught both the wealthy and poor, as well as white students and Native Americans.","Los Angeles, California",34.044458,-118.252081,Engh,
1,Sisters of Charity of St. Joseph,1.05,St. Mary's Orphan Asylum and Free School,January 1848,1848,not found,,orphanage and children (unknown if just girls),"The school was founded by Sisters of Charity who traveled from Emmitsburg in January, 1848. Eighty children attended the Free School in 185. ","Natchez, Mississippi",31.559794,-91.404592,Alma vol. 54 no. 2,
1,Sisters of Charity of St. Joseph,1.06,St. Vincent de Paul Academy,1834,1834,not found,,uncertain,"The school and noviate were founded after the Legislature of Louisiana allowed them to do so, in recognition of their help taking charge of hospitals during the cholera epidemic.","Donaldsonville, Louisiana",30.10558,-91.002607,Alma vol. 54 no. 2,
